proposal_id,obj_id,user_ra,user_dec,user_epoch,tract,patch,object_type_name,input_catalog_name,input_catalog_obj_id
S21B-EN01,42687993487565754,351.09365105007646,0.1121664590950585,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487565754
S21B-EN01,42687993487566552,351.19975906199414,0.211945576979229,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487566552
S21B-EN01,42687993487577341,351.10201506431434,0.1163091671884045,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487577341
S21B-EN01,42687993487577740,351.0236806206427,0.1727156762519993,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487577740
S21B-EN01,42687993487577801,351.0223475646634,0.1343006171919732,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487577801
S21B-EN01,42687993487577899,351.204215376448,0.1078475615768196,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487577899
S21B-EN01,42687993487579061,351.16058247750976,0.1266628447429218,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487579061
S21B-EN01,42687993487580747,351.17123376004866,0.1437857974376141,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487580747
S21B-EN01,42687993487580910,351.1771008647118,0.150782566266685,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487580910
S21B-EN01,42687993487581488,351.1395932592995,0.1538661881609512,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487581488
S21B-EN01,42687993487582719,351.0895264979196,0.1732507783653933,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487582719
S21B-EN01,42687993487583883,351.1016783526063,0.247095936671461,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487583883
S21B-EN01,42687993487584431,351.05067835453804,0.1934172321130928,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487584431
S21B-EN01,42687993487584485,351.1782723376344,0.1945005419886321,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487584485
S21B-EN01,42687993487584494,351.032724482794,0.1950387967826843,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487584494
S21B-EN01,42687993487584703,351.0739744902293,0.1979946858348996,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487584703
S21B-EN01,42687993487586106,351.113098942712,0.2174444190971796,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487586106
S21B-EN01,42687993487586524,351.0661426693443,0.2236076645647326,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487586524
S21B-EN01,42687993487587293,351.05693476912666,0.234733174892753,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487587293
S21B-EN01,42687993487587709,351.0813154359919,0.2409471958342544,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487587709
S21B-EN01,42687993487587856,351.15073924745434,0.2489805082449358,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487587856
S21B-EN01,42687993487588518,351.0336852185731,0.2518474668660853,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487588518
S21B-EN01,42687993487589120,351.1503424382677,0.2621832940794947,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487589120
S21B-EN01,42687993487589763,351.19852025425064,0.2745037750073399,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487589763
S21B-EN01,42687993487589779,351.198640266421,0.2758654587879287,J2000.0,9706,401,galaxy,hscssp_pdr3,42687993487589779
S21B-EN01,42687997782524651,351.0594190565689,0.2900723808126227,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782524651
S21B-EN01,42687997782525148,351.02167104522624,0.3034336863275174,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782525148
S21B-EN01,42687997782526906,351.15135469493487,0.3496562552870298,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782526906
S21B-EN01,42687997782528026,351.190519862224,0.3774407750359793,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782528026
S21B-EN01,42687997782528028,351.04503824766084,0.3775694883747071,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782528028
S21B-EN01,42687997782528512,351.0846431643508,0.3887101527935155,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782528512
S21B-EN01,42687997782528639,351.02102491566166,0.391495141189937,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782528639
S21B-EN01,42687997782529555,351.0850080087933,0.4118511534844884,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782529555
S21B-EN01,42687997782529722,351.0989951124463,0.4163819024901291,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782529722
S21B-EN01,42687997782529919,351.0928351027272,0.420554268726885,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782529919
S21B-EN01,42687997782542361,351.19909780434443,0.2774078895881017,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782542361
S21B-EN01,42687997782542949,351.0938880045185,0.3683361657411264,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782542949
S21B-EN01,42687997782545771,351.14950790869267,0.3198076155876884,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782545771
S21B-EN01,42687997782545933,351.02738284232333,0.3241783234956061,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782545933
S21B-EN01,42687997782546030,351.1367694641133,0.3262594394629626,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782546030
S21B-EN01,42687997782547281,351.1340631269369,0.3451120728010937,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782547281
S21B-EN01,42687997782547821,351.07992037123887,0.353280939885217,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782547821
S21B-EN01,42687997782548316,351.18754739918774,0.3624066252848027,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782548316
S21B-EN01,42687997782549569,351.0430471936851,0.3839651171493514,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782549569
S21B-EN01,42687997782550030,351.0961885355511,0.393620966917763,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782550030
S21B-EN01,42687997782550136,351.12542075033434,0.3944077973810436,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782550136
S21B-EN01,42687997782551501,351.05992499550865,0.4157018810648067,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782551501
S21B-EN01,42687997782552923,351.0665868047056,0.4453126000176312,J2000.0,9706,402,galaxy,hscssp_pdr3,42687997782552923
S21B-EN01,42688002077491557,351.12810663907555,0.466312799222123,J2000.0,9706,403,galaxy,hscssp_pdr3,42688002077491557
S21B-EN01,42688002077491722,351.1632898428623,0.4695865661182547,J2000.0,9706,403,galaxy,hscssp_pdr3,42688002077491722
S21B-EN01,42688002077491997,351.16377633419484,0.47489617626795,J2000.0,9706,403,galaxy,hscssp_pdr3,42688002077491997
S21B-EN01,42688002077492137,351.1836712081074,0.4774378003860271,J2000.0,9706,403,galaxy,hscssp_pdr3,42688002077492137
S21B-EN01,42688002077492553,351.1705718371161,0.4854573860885431,J2000.0,9706,403,galaxy,hscssp_pdr3,42688002077492553
S21B-EN01,42688002077493248,351.068019532125,0.4987492750532923,J2000.0,9706,403,galaxy,hscssp_pdr3,42688002077493248
