# name,# catalog-job 2021-10-09
# SQL,"# -- Simple area search based on the range of RA and Dec getting all object
# -- with i band Kron magnitudes smaller than 25.5, and in the area in
# -- the range RA J2000 between 34.0 and 36.0 degrees and Dec J2000 -5.0
# -- and -4.5 degrees.
# 
# -- WARNING:
# --   --> Remove 'LIMIT 10' for your query
# --   --> Edit the schema name 'pdr3_dud' for your query.
# 
# SELECT
#     object_id
#       , ra
#       , dec
# 	  , tract
# 	  , patch
#       , i_kronflux_mag
#       , i_kronflux_magerr
#       , y_kronflux_mag
#       , y_kronflux_magerr
#       , i_kronflux_mag - y_kronflux_mag AS i_y
#     FROM
#     pdr3_dud.forced
#     JOIN pdr3_dud.forced2 USING (object_id)
#     WHERE
#     isprimary
#     AND boxSearch(coord, 34.0, 36.0, -5.0, -4.5)
#           /* is equivalent to
37489936303146194,35.0790084912203,-4.906776252739758,8524,706,24.5063858,0.0326386578,24.246418,0.0950962529,0.259967804
37489936303146199,35.07813817005658,-4.906889827661029,8524,706,23.1881866,0.0493245982,22.6753197,0.114662841,0.512866974
37489936303146925,35.07797426751926,-4.898892330889144,8524,706,24.091423,0.0161719043,23.6887341,0.0401637107,0.40268898
37489936303146927,35.079008786483634,-4.898345107434462,8524,706,23.348999,0.0193678886,23.2603683,0.0650515109,0.0886306763
37489936303146942,35.077791478440275,-4.9022025028032825,8524,706,25.1365776,0.0462740064,25.1802006,0.180554584,-0.0436229706
37489936303147548,35.07931655672719,-4.902199099548982,8524,706,25.0449429,0.0477519892,24.9842567,0.170096919,0.0606861115
37489936303148585,35.078503715642896,-4.884868874205887,8524,706,24.1686096,0.0205475353,23.2208138,0.0313824229,0.947795868
37489936303148586,35.0775315966123,-4.887253886053671,8524,706,23.8665123,0.0209084023,23.0376816,0.0359175391,0.828830719
37489936303148589,35.077450943791014,-4.8917785456669485,8524,706,22.8568764,0.0297052898,22.7059116,0.0958283767,0.150964737
37489936303148590,35.07681586921699,-4.88485167441904,8524,706,24.0585594,0.0741041228,23.0273266,0.105655424,1.03123283
37489936303149690,35.077705969415135,-4.881258859810378,8524,706,24.8847294,0.0437716506,24.3673,0.101742603,0.517429352
37489936303150726,35.07609223238093,-4.873744675492607,8524,706,23.9837265,0.0178959891,23.9263916,0.0637783781,0.0573348999
37489936303150728,35.07696882659738,-4.875792919537383,8524,706,24.6893673,0.029602496,24.4595184,0.0900076181,0.229848862
37489936303150729,35.077223998089856,-4.874600346687279,8524,706,24.5221806,0.0297338497,24.5135937,0.109896466,0.00858688354
37489936303150733,35.07665518824936,-4.872940411936487,8524,706,25.0092621,0.052453056,24.8054276,0.162181064,0.203834534
37489936303151475,35.07703376274402,-4.868121492036322,8524,706,25.055357,0.0363540202,24.8242073,0.106806122,0.231149673
37489936303151476,35.07619958016712,-4.868238492810654,8524,706,24.3997917,0.111913472,23.5106735,0.181199476,0.889118195
37489936303151595,35.076192755303126,-4.866447931480757,8524,706,25.3511047,0.0466330983,24.9527969,0.119836114,0.3983078
37489936303152049,35.07694243580169,-4.857958317445471,8524,706,22.2200546,0.00246390118,22.1648788,0.00853327103,0.0551757812
37489936303152052,35.07720309599617,-4.8623999038556525,8524,706,24.217001,0.0261838343,23.8520622,0.0689632893,0.364938736
37489936303152057,35.07595987541806,-4.858657056132541,8524,706,25.1636238,0.0651502386,24.7471886,0.16397433,0.416435242
37489936303152058,35.07658019311904,-4.859377692571847,8524,706,25.1424103,0.055918809,24.6931839,0.137133196,0.449226379
37489936303152073,35.07632799920033,-4.861767134441659,8524,706,23.3367252,0.0490014814,22.6077385,0.0936737508,0.72898674
37489936303152828,35.07666346628896,-4.856138148302513,8524,706,24.7410927,0.0295618102,23.8382568,0.047596585,0.902835846
37489936303154801,35.07540024631397,-4.8383390890642675,8524,706,25.1921082,0.0477117747,25.4708519,0.234055996,-0.278743744
37489936303154860,35.07449458888362,-4.837236236317522,8524,706,23.2373753,0.0107917497,22.9166183,0.0299581718,0.320756912
37489936303154861,35.07399178329381,-4.835764841251477,8524,706,22.937294,0.0115200188,22.4712715,0.0277817193,0.466022491
37489936303154862,35.073562360728985,-4.834457234913835,8524,706,24.2965355,0.0238174591,23.6503353,0.0481365584,0.64620018
37489936303154863,35.073541216533656,-4.837933026219458,8524,706,24.4207153,0.03101594,24.1218948,0.0883327574,0.298820496
37489936303155608,35.07411537481428,-4.826658297176527,8524,706,22.618515,0.00550046097,22.2748184,0.01464584,0.343696594
37489936303155621,35.073699636048694,-4.832921207320703,8524,706,23.8721752,0.0170069635,23.8148327,0.0597666241,0.0573425293
37489936303155643,35.07366545818459,-4.82627730715622,8524,706,23.9397812,0.035961315,23.0097122,0.0556224361,0.93006897
